date,source,description,amount,category,statementDescription,extendedDetails,foreignAmount,reference,country
2024-07-10,Chase Ink,ALP*shanghuwuchengyong,-6.88,Merchandise & Inventory,,,,,
2024-07-10,Chase Ink,base city,-651.69,Travel,,,,,
2024-07-10,Chase Ink,ALIPAY,-94.4,Merchandise & Inventory,,,,,
2024-07-10,Chase Ink,ALIPAY,-2.45,Merchandise & Inventory,,,,,
2024-07-10,Chase Ink,UMS*TIGERBITES,-191.56,Food & Drink,,,,,
2024-07-10,Chase Ink,daduodaduo,-30,Food & Drink,,,,,
2024-07-10,Chase Ink,daduodaduo,-62.48,Food & Drink,,,,,
2024-07-10,Chase Ink,daduodaduo,-16.24,Food & Drink,,,,,
